Method,Path,Protocol,Host,Cookie,Sec-Ch-Ua,Sec-Ch-Ua-Mobile,Sec-Ch-Ua-Platform,Upgrade-Insecure-Requests,User-Agent,Accept,Sec-Fetch-Site,Sec-Fetch-Mode,Sec-Fetch-Dest,Referer,Accept-Encoding,Accept-Language,Content-Length,Content-Type,Origin,X-Xsrf-Token,Sec-Fetch-User,Connection,Pragma,Cache-Control,Upgrade,Sec-WebSocket-Version,Sec-WebSocket-Key
GET,/assets/embed/cloud.html,HTTP/2_x000D_,cloud.anylogic.com_x000D_,_ga=GA1.2.618405683.1663067584; _gid=GA1.2.1417503650.1664277311; XSRF-TOKEN=076b73fb-4b6b-4382-b8e5-30207b204772_x000D_,"""Chromium"";v=""105"", ""Not)A;Brand"";v=""8""_x000D_",?0_x000D_,"""Windows""_x000D_",1_x000D_,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.5195.102 Safari/537.36_x000D_","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9_x000D_",same-origin_x000D_,navigate_x000D_,iframe_x000D_,https://cloud.anylogic.com/model/fd24f59d-85cc-45d0-a327-ed551b983c43?mode=SETTINGS_x000D_,"gzip, deflate_x000D_","ko-KR,ko;q=0.9,en-US;q=0.8,en;q=0.7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GET,/assets/animation/api.loader.js,HTTP/2_x000D_,cloud.anylogic.com_x000D_,_ga=GA1.2.618405683.1663067584; _gid=GA1.2.1417503650.1664277311; XSRF-TOKEN=076b73fb-4b6b-4382-b8e5-30207b204772_x000D_,"""Chromium"";v=""105"", ""Not)A;Brand"";v=""8""_x000D_",?0_x000D_,"""Windows""_x000D_",0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.5195.102 Safari/537.36_x000D_",*/*_x000D_,same-origin_x000D_,no-cors_x000D_,script_x000D_,https://cloud.anylogic.com/assets/embed/cloud.html_x000D_,"gzip, deflate_x000D_","ko-KR,ko;q=0.9,en-US;q=0.8,en;q=0.7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POST,/api/experiments/48322126-88e7-492b-b754-bcfa4dbf2305/runs/animation,HTTP/2_x000D_,cloud.anylogic.com_x000D_,_ga=GA1.2.618405683.1663067584; _gid=GA1.2.1417503650.1664277311; XSRF-TOKEN=076b73fb-4b6b-4382-b8e5-30207b204772_x000D_,"""Chromium"";v=""105"", ""Not)A;Brand"";v=""8""_x000D_",?0_x000D_,"""Windows""_x000D_",0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.5195.102 Safari/537.36_x000D_",*/*_x000D_,same-origin_x000D_,cors_x000D_,empty_x000D_,https://cloud.anylogic.com/assets/embed/cloud.html_x000D_,"gzip, deflate_x000D_","ko-KR,ko;q=0.9,en-US;q=0.8,en;q=0.7",1197_x000D_,application/json_x000D_,https://cloud.anylogic.com_x000D_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GET,/assets/animation/8.3.0/css/presentation.min.css,HTTP/2_x000D_,cloud.anylogic.com_x000D_,_ga=GA1.2.618405683.1663067584; _gid=GA1.2.1417503650.1664277311; XSRF-TOKEN=076b73fb-4b6b-4382-b8e5-30207b204772_x000D_,"""Chromium"";v=""105"", ""Not)A;Brand"";v=""8""_x000D_",?0_x000D_,"""Windows""_x000D_",0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.5195.102 Safari/537.36_x000D_","text/css,*/*;q=0.1_x000D_",same-origin_x000D_,no-cors_x000D_,style_x000D_,https://cloud.anylogic.com/assets/embed/cloud.html_x000D_,"gzip, deflate_x000D_","ko-KR,ko;q=0.9,en-US;q=0.8,en;q=0.7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GET,/assets/animation/8.3.0/api.bundle.js,HTTP/2_x000D_,cloud.anylogic.com_x000D_,_ga=GA1.2.618405683.1663067584; _gid=GA1.2.1417503650.1664277311; XSRF-TOKEN=076b73fb-4b6b-4382-b8e5-30207b204772_x000D_,"""Chromium"";v=""105"", ""Not)A;Brand"";v=""8""_x000D_",?0_x000D_,"""Windows""_x000D_",0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.5195.102 Safari/537.36_x000D_",*/*_x000D_,same-origin_x000D_,no-cors_x000D_,script_x000D_,https://cloud.anylogic.com/assets/embed/cloud.html_x000D_,"gzip, deflate_x000D_","ko-KR,ko;q=0.9,en-US;q=0.8,en;q=0.7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GET,/assets/animation/8.3.0/svg-template.html,HTTP/2_x000D_,cloud.anylogic.com_x000D_,_ga=GA1.2.618405683.1663067584; _gid=GA1.2.1417503650.1664277311; XSRF-TOKEN=076b73fb-4b6b-4382-b8e5-30207b204772_x000D_,"""Chromium"";v=""105"", ""Not)A;Brand"";v=""8""_x000D_",?0_x000D_,"""Windows""_x000D_",0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.5195.102 Safari/537.36_x000D_",*/*_x000D_,same-origin_x000D_,cors_x000D_,empty_x000D_,https://cloud.anylogic.com/assets/embed/cloud.html_x000D_,"gzip, deflate_x000D_","ko-KR,ko;q=0.9,en-US;q=0.8,en;q=0.7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GET,/nodes/e8b42ba4-f1da-4d16-b557-5046cd34e7bd/sessions/e8b42ba4-f1da-4d16-b557-5046cd34e7bd/configuration,HTTP/2_x000D_,cloud.anylogic.com_x000D_,_ga=GA1.2.618405683.1663067584; _gid=GA1.2.1417503650.1664277311; XSRF-TOKEN=076b73fb-4b6b-4382-b8e5-30207b204772_x000D_,"""Chromium"";v=""105"", ""Not)A;Brand"";v=""8""_x000D_",?0_x000D_,"""Windows""_x000D_",0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.5195.102 Safari/537.36_x000D_",*/*_x000D_,same-origin_x000D_,cors_x000D_,empty_x000D_,https://cloud.anylogic.com/assets/embed/cloud.html_x000D_,"gzip, deflate_x000D_","ko-KR,ko;q=0.9,en-US;q=0.8,en;q=0.7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GET,/nodes/e8b42ba4-f1da-4d16-b557-5046cd34e7bd/sessions/e8b42ba4-f1da-4d16-b557-5046cd34e7bd/frames?fullFrame=true&time=15276.200000000186,HTTP/2_x000D_,cloud.anylogic.com_x000D_,_ga=GA1.2.618405683.1663067584; _gid=GA1.2.1417503650.1664277311; XSRF-TOKEN=076b73fb-4b6b-4382-b8e5-30207b204772_x000D_,"""Chromium"";v=""105"", ""Not)A;Brand"";v=""8""_x000D_",?0_x000D_,"""Windows""_x000D_",0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.5195.102 Safari/537.36_x000D_",*/*_x000D_,same-origin_x000D_,cors_x000D_,empty_x000D_,https://cloud.anylogic.com/assets/embed/cloud.html_x000D_,"gzip, deflate_x000D_","ko-KR,ko;q=0.9,en-US;q=0.8,en;q=0.7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GET,/nodes/e8b42ba4-f1da-4d16-b557-5046cd34e7bd/sessions/e8b42ba4-f1da-4d16-b557-5046cd34e7bd/frames?fullFrame=false&time=15541.400000000373,HTTP/2_x000D_,cloud.anylogic.com_x000D_,_ga=GA1.2.618405683.1663067584; _gid=GA1.2.1417503650.1664277311; XSRF-TOKEN=076b73fb-4b6b-4382-b8e5-30207b204772_x000D_,"""Chromium"";v=""105"", ""Not)A;Brand"";v=""8""_x000D_",?0_x000D_,"""Windows""_x000D_",0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.5195.102 Safari/537.36_x000D_",*/*_x000D_,same-origin_x000D_,cors_x000D_,empty_x000D_,https://cloud.anylogic.com/assets/embed/cloud.html_x000D_,"gzip, deflate_x000D_","ko-KR,ko;q=0.9,en-US;q=0.8,en;q=0.7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GET,/nodes/e8b42ba4-f1da-4d16-b557-5046cd34e7bd/sessions/e8b42ba4-f1da-4d16-b557-5046cd34e7bd/frames?fullFrame=false&time=16545.799999999814,HTTP/2_x000D_,cloud.anylogic.com_x000D_,_ga=GA1.2.618405683.1663067584; _gid=GA1.2.1417503650.1664277311; XSRF-TOKEN=076b73fb-4b6b-4382-b8e5-30207b204772_x000D_,"""Chromium"";v=""105"", ""Not)A;Brand"";v=""8""_x000D_",?0_x000D_,"""Windows""_x000D_",0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.5195.102 Safari/537.36_x000D_",*/*_x000D_,same-origin_x000D_,cors_x000D_,empty_x000D_,https://cloud.anylogic.com/assets/embed/cloud.html_x000D_,"gzip, deflate_x000D_","ko-KR,ko;q=0.9,en-US;q=0.8,en;q=0.7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
